model_name,threshold,accuracy,precision,recall,f1_score,roc_auc,true_negatives,false_positives,false_negatives,true_positives
xgboost,0.6,0.807,0.7429,0.4171,0.5342,0.8563,981,54,218,156
logistic_regression,0.6,0.7757,0.5604,0.7193,0.63,0.8487,824,211,105,269
